Feeding America San Diego Partner (for internal use for ancillary donor map),San Diego Food Bank Partner (for internal use for ancillary donor map),Food Program Name,2-1-1 web URL for  hyperlink on Agency Name,Street Address,City ,Zip Code,Distance,Day(s)/Time,Foods Typically Available,Documents Needed,Eligibility,"URL for details on Eligibility hyperlinked to ""Eligibility""",Contact for Additional Questions,2016 Holiday Closures,Other Services Offered at this Site
,SDFB,Teen Challenge,https://211sandiego.communityos.org/zf/profile/service/id/778217,5450 Lea Street,San Diego,92105,Calculated from mapping zip code,2nd Monday of each month from 9:00 am until the food is gone,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,medical outreach from La Maestra clinic
,SDFB,LGBT Community Center,TBD,3909 Centre Street,San Diego,92103,1st Tuesday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,
FASD,SDFB,South Bay Pentecostal,TBD,395 D Street,Chula Vista,91910,1st Friday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,rescheduled for January 5 due to New Year's holiday,Affordable Care application assistance
,SDFB,Teen Challenge,TBD,5450 Lea Street,San Diego,92105,2nd Monday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,Lifeline Cellular; cooking demonstrations
FASD,SDFB,Hearts & Hands Working Together,TBD,2020 Alaquinas Drive,San Ysidro,92173,2nd Tuesday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,
FASD,SDFB,Journey Community Church,TBD,"8363 Center Drive, Ste 6C",La Mesa,91942,2nd Friday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,Rescheduled in November to the 10th due to Veteran's Day holiday,
,SDFB,St. Stephen's of COGIC,TBD,5825 Imperial Avenue,San Diego,92114,3rd Monday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,Reschduled in January to the 11th due to MLK Jr Holiday; Rescheduled in February to the 8th due to President's Day holiday,
,SDFB,Vista Spanish SDA Church,TBD,254 West Indian Rock,Vista,92083,3rd Monday of each month from 2:00 pm until food is gone,2:00 PM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,Reschduled in January to the 11th due to MLK Jr Holiday; Rescheduled in February to the 8th due to President's Day holiday,
FASD,SDFB,El Cajon 7th Day Adventist Church,TBD,1630 East Madison Avenue,El Cajon,92019,3rd Tuesday of each month from 4:00 pm until food is gone,4:00 PM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,
,SDFB,Military Outreach Ministry,TBD,2624 Santa Margarita Road,Oceanside,92058,3rd Saturday of each month from 10:00 am until food is gone,10:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,
,SDFB,Heaven's Windows,TBD,2300 Bancroft Drive,Spring Valley,91977,4th Tuesday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,Rescheduled in November to the 18th due to agency event; Rescheduled in December to the 20th due to Christmas holiday,
,SDFB,Fallbrook Food Pantry,TBD,221 North Pico Avenue,Fallbrook,92028,Last Wednesday of each month from 10:00 am until food is gone,10:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,
,SDFB,Bread of Life,TBD,1919 Apple Street,Oceanside,92054,Last Thursday of each month from 3:00 pm until food is gone,3:00 PM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,Rescheduled in March to the 24th due to Cesar Chavez holiday; Rescheduled in November to the 17th due to Thanksgiving holiday,
,SDFB,Samoa Independent,TBD,2055 Skyline Drive,Lemon Grove,91945,Last Friday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,"Rescheduled in November to the 18th due to Thanksgiving holiday, Rescheduled in December to the 29th due to Christmas holiday",
FASD,SDFB,Heaven's Windows,https://211sandiego.communityos.org/zf/profile/service/id/799059,2300 Bancroft Drive,Spring Valley,91977,Calculated from mapping zip code,Monday through Friday from 9:00 am - 12:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(619) 463-0725,"Closed: January 1, 2, 18; February 15; May 30; July 4; September 5; October 10; November 11, 24, 25; December 26",SDG&E Care Registration
,SDFB,Good News Baptist Church,https://211sandiego.communityos.org/zf/profile/service/id/657721, 416 Swift Avenue,San Diego,92104,Calculated from mapping zip code,2nd Wednesday of each month from 10:30 am - 12:00 pm,"CSFP Commodities - canned & packaged goods, cheese",Bring proof of income and identification 1st time,CSFP Income Guidelines,http://www.fns.usda.gov/sites/default/files/CSFP_2014_Income_Guidelines.pdf,(866) 350-3663,none,
,SDFB,SDFB Back Country  Boulevard,TBD,39605 Old Highway 80,Boulevard,91905,Calculated from mapping zip code,2nd Monday of each month from 10:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,SDFB,Salvation Army - Campo,TBD,376 Sheridan Rd,Campo,91905,Calculated from mapping zip code,Wednesday after 2nd Monday of the month from 12:00 pm - 12:30 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,SDFB,Salvation Army - Lake Morena,TBD,29801 Oak Drive,Lake Morena,91906,Calculated from mapping zip code,Wednesday after 2nd Monday of the month from 1:00 pm - 1:30 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
FASD,SDFB,Lutheran Social Services of SoCal - Project Hand,TBD,580 Hilltop Drive,Chula Vista,91910,Calculated from mapping zip code,"Monday, Wednesday, and Friday from 9:00 am - 2:00 pm","EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                      January 1, 18                      February 15                                            March 31                                              May 30                                        Jul y4                          September 5                         November 11,  25                            December 23, 26, 30",
,SDFB,Congregational Tower,TBD,288 F Street,Chula Vista,91910,Calculated from mapping zip code,Wednesdays and Fridays from 9:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,,
,SDFB,Oxford Terrace Apartments,TBD,555 Oxford St.,Chula Vista,91911,Calculated from mapping zip code,2nd Friday of the month from 9:00 am until food is gone,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,For the month of November distribution day will be 10th.,
FASD,SDFB,South Bay Community Services,TBD,333 Oxford Street,Chula Vista,91911,Calculated from mapping zip code,Tuesdays and Thursdaysfrom 9:00 am - 12:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,SDFB,Salvation Army - Guatay,TBD,27521 Old Hwy 80,Guatay,91931,Calculated from mapping zip code,Wednesday after 2nd Monday of the month from 10:00 am - 10:30 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
FASD,SDFB,Imperial Beach United Methodist Church,TBD,455 Palm Ave,Imperial Beach,91932,Calculated from mapping zip code,Tuesday and Thursday from 9:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,SDFB,SDFB Back Country Jacumba,TBD,44681 Old Highway 80,Jacumba,91933,Calculated from mapping zip code,2nd Monday of each month from 1:00 pm - 2:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
FASD,SDFB,Home Start/La Mesa,TBD,4370 Parks Ave,La Mesa,91941,Calculated from mapping zip code,3rd Tuesday of each month from 9:30 am - 11:30 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
FASD,SDFB,La Mesa SDA Community Church,TBD,4207 Spring Gardens  RD,La Mesa,91941,Calculated from mapping zip code,"Monday, Tuesday, and Thursday from 9:00 am - 12:00 pm","EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,SDFB,Samoa Independent Full Gospel,TBD,2055 Skyline Dr,Lemon Grove,91945,Calculated from mapping zip code,1st Friday of each month from 9:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,For the month of January distribution day will be 8th. For the month of February will be 12th,
FASD,SDFB,Community Food Bank of National City,TBD,2605 Highland Avenue,National City,91950,Calculated from mapping zip code,2nd Friday of each month from 9:00 am - 11:00 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,For the month of November distribution day will be 10th.,
FASD,SDFB,First Christian Church of National City,TBD,1800 E. 17th Street,National City,91950,Calculated from mapping zip code,Every Friday of the month from 9:00 am - 10:30 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                January 1                               March 25                              October 5                                 November 25                                        December 23, 30 ",
,SDFB,National City Collaborative-Euclid,TBD,2325 Euclid Ave.,National City,91950,Calculated from mapping zip code,Every Monday and Friday from 1:00 pm - 5:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                                 January 1, 18                                                      February 15                                                                   May 23                                                July 4                         September 5                                       November 9, 23, 24, 25                                        December 23",
,,National City Collaborative-18,TBD,304 W 18th St,National City,91950,Calculated from mapping zip code,"Every Tuesday,  Wednesday, and Thursday from 8:00 am - 12:00 pm","EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                                 January 1, 18                                                      February 15                                                                   May 23                                                July 4                         September 5                                       November 9, 23, 24, 25                                        December 23",
,SDFB,Salvation Army - Pine Valley,TBD,28989 Old Hwy 80,Pine Valley,91962,Calculated from mapping zip code,"Monday, Wednesday and Friday from 8:00 am - 4:00 pm","EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                       January 1, 18                                February  15                                March  31                                                                                  May  30                                                                                                                  July 13                                                                September 5                                                                                             November  24, 25                                                               ",
,SDFB,Salvation Army - Pine Valley,TBD,28940 Old Hwy 80,Pine Valley,91962,Calculated from mapping zip code,Wednesday after 2nd Monday of the month from 9:00 am - 9:30 am,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,,Potrero Community  Center Foundation,TBD,25771 Potrero Valley Rd,Potrero,91963,Calculated from mapping zip code,4th Thursday of each month from 1:30 pm - 3:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,For the month of November distribution day will be 7th,
,SDFB,San Martin de Porres Apt. MAAC,TBD,9119 Jamacha Rd.,Spring Valley,91977,Calculated from mapping zip code,3rd Tuesday of each month from 3:00 pm - 5:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
FASD,SDFB,Spring Valley Community Church,TBD,9255 Lamar St,Spring Valley,91977,Calculated from mapping zip code,3rd Tuesday of each month from 3:00 pm - 4:30 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,SDFB,Stepping Higher Inc.,TBD,2778 Sweetwater Springs Blvd,Spring Valley,91977,Calculated from mapping zip code,Every Tuesday from 9:00 am - 11:00 am; Every Thursday and Friday from 1:00 pm - 3:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                      January 1, 18                      February 15                                            March 31                                              May 30                                        July 4                          September 5                         November 11, 24, 25                            December 23, 26, 30",
FASD,SDFB,Heaven's Windows,TBD,2300 Bancroft Dr,Spring Valley,91977,Calculated from mapping zip code,Monday through Friday from 9:00 am - 12:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                                       January 1, 2, 18,                                      February 15,                                                                                         May 30,                                                             July 4,                                                                      September 5,                                              October 10,                               Nov. 11, 24, 25,                               Dec. 26.                                   ",
,SDFB,St Barnabas Episcopal Church,TBD,2680 Country Club Dr.,Borrego Springs,92004,Calculated from mapping zip code,Monday before 3rd Tuesday of each month from 2:00 pm - 4:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,For the month of January distribution day will be 15th. For the month of February distribution day will be 12th  ,
,SDFB,Pilgrim United Church of Christ,TBD,2020 Chestnut Ave,Carlsbad,92008,Calculated from mapping zip code,3rd Tuesday of each month from 1:00 pm - 2:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,SDFB,Christian Credit Counselors,TBD,5838 Edison Pl # 200,Carlsbad,92008,Calculated from mapping zip code,Monday through Friday from 8:00 am - 4:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                   January 1                                                  February 15                                             May 30                                          July 4                                         September 5                                    November 24, 25                                                ",
,SDFB,Laurel Tree Apartments,TBD,1307 Laurel Tree Lane,Carlsbad,92011,Calculated from mapping zip code,3rd Tuesday of each month from 3:00 pm - 5:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
FASD,SDFB,Crisis House,TBD,1034 North Magnolia,El Cajon,92020,Calculated from mapping zip code,Monday through Friday from 8:30 am - 11:15 am; Every Monday and Friday from 1:00 pm - 3:30 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                                       January  18,                                      February 15,                                       March 31,                                                         May 30,                                                             July 4,                                                                      September 5,                                                                         Nov. 11, 24, 25,                               Dec. 26.                                   ",
,SDFB,Salvation Army - El Cajon,TBD,1011 East Main St.,El Cajon,92020,Calculated from mapping zip code,Wednesday after 3rd Tuesday of the month from 9:30 am until food is gone,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
FASD,SDFB,Heartland  Community a Foursquare Church,TBD,1012 East Bradley Ave,El Cajon,92021,Calculated from mapping zip code,3rd Tuesday of each month from 9:30 am - 12:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,SDFB,St John's Church,TBD,1001 Encintas Blvd.,Encinitas,92024,Calculated from mapping zip code,3rd Tuesday of each month from 12:30 pm until food is gone,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
,SDFB,Community Resource Center,TBD,656 Second St.,Encinitas,92024,Calculated from mapping zip code,Monday through Thursday from 8:00 am - 5:00 pm; Every Fridayfrom 8:00 am - 1:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"Closed                                                January 1, 18                                         February 15                                                                                                           May 30                                                         July 4                                                                         September 5                                      November 24, 25                            December 23, 26",
,SDFB,North County Church of Christ,TBD,130 Woodward Ave.,Escondido,92025,Calculated from mapping zip code,3rd Tuesday of each month from 4:00 pm - 6:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,none,
FASD,SDFB,Fallbrook Food Pantry,TBD,1042 South Mission Rd,Fallbrook,92028,Calculated from mapping zip code,3rd week of the Month (Monday- Friday) from 9:30 am - 12:30 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(866) 350-3663,"For the month of November distribution days will be 21, 22, 23, 28 and 29.",
